Make,Duty
FORD,Light
PLYMOUTH,Light
CHEVROLET,Light
WHITE,Heavy
GMC,Light
INFINITI,Light
MERCEDES-BENZ,Light
VOLKSWAGEN,Light
DODGE,Light
JEEP,Light
ACURA,Light
HONDA,Light
CHRYSLER,Light
CADILLAC,Light
NISSAN,Light
TOYOTA,Light
MAZDA,Light
BMW,Light
HYUNDAI,Light
LEXUS,Light
KIA,Light
SCION,Light
PONTIAC,Light
FREIGHTLINER,Heavy
RAM,Light
AUDI,Light
MINI,Light
HINO,Heavy
MITSUBISHI,Light
INTERNATIONAL,Heavy
SUBARU,Light
BUICK,Light
TESLA,Light
FORD,Heavy
GMC,Heavy
CHEVROLET,Heavy
MERCURY,Light
LINCOLN,Light
VOLVO,Light
HUMMER,Light
OLDSMOBILE,Light
SATURN,Light
ISUZU,Heavy
ISUZU,Light
SUZUKI,Light
LAND ROVER,Light
PORSCHE,Light
JAGUAR,Light
FIAT,Light
GENESIS,Light
SAAB,Light
ALFA ROMEO,Light
GEO,Light
WORKHORSE,Heavy
AMERICAN LAFRANCE,Heavy
NORTH AMERICAN BUS INDUSTRIES,Heavy
PETERBILT,Heavy
RAM,Heavy
MOTOR COACH INDUSTRIES,Heavy
EL DORADO,Heavy
NEW FLYER,Heavy
KENWORTH,Heavy
GILLIG,Heavy
BLUE BIRD,Heavy
AUTOCAR,Heavy
PIERCE,Heavy
PROTERRA,Heavy
IC BUS,Heavy
FWD,Heavy
NEOPLAN,Heavy
VOLVO,Heavy
OSHKOSH,Heavy
ORION,Heavy
SEAGRAVE,Heavy
STERLING,Heavy
FLXIBLE TRANSIT COACHES,Heavy
MACK,Heavy
TMC,Heavy
WHITE/GMC,Heavy
KALMAR,Heavy
PREVOST,Heavy
MASERATI,Light
BENTLEY,Light
ROLLS-ROYCE,Light
FERRARI,Light
ARBOC,Heavy
POLESTAR,Light
KOVATCH MOBLIE EQUIPMENT CORP.,Heavy
RIVIAN,Light
THOMAS BUS,Heavy
ASTON MARTIN,Light
IC BUS LLC,Heavy
DODGE,Heavy
KOVATCH,Heavy
SMART,Light
LAMBORGHINI,Light
MITSUBISHI,Heavy
MERCEDES-BENZ,Heavy
GREENPOWER MOTOR,Heavy
CRANE CARRIER,Heavy
BYD COACH AND BUS,Heavy
ALEXANDER DENNIS,Heavy
ROADMASTER,Heavy
CATERPILLAR,Heavy
ORANGE EV,Heavy
VPG,Light
AM GENERAL,Light
WESTERN STAR,Heavy
NORTH AMERICAN,Heavy
SPARTAN,Heavy
MOTOR COACH IND,Heavy
EMERGENCY ONE,Heavy
LUCID,Light
CAPACITY,Heavy
TICO,Heavy
BLUEBIRD,Heavy
VAN HOOL,Heavy
MAN TRUCK AND BUS CORPORATION,Heavy
CRUISE,Light
TROLLEY,Heavy
LODAL,Heavy
HME,Heavy
ALLIANZ,Heavy
GLOBAL ENVIRONMENTAL,Heavy
XOS,Heavy
BRIGHTDROP,Heavy
LOTUS,Light
AM GENERAL,Heavy
COUNTRY COACH,Heavy
