Make,COUNT(1),year_model,moves_adjusted_fuel_code,Fuel Detail,Duty
FORD,1,1968,0,Unknown,"Heavy Duty (GVWR>10,000 lbs)"
FORD,1,1969,0,Unknown,"Heavy Duty (GVWR>10,000 lbs)"
CHEVROLET,1,1970,0,Unknown,"Heavy Duty (GVWR>10,000 lbs)"
FORD,2,1973,0,Unknown,"Heavy Duty (GVWR>10,000 lbs)"
GMC,1,1976,0,Unknown,"Heavy Duty (GVWR>10,000 lbs)"
FORD,4,1977,0,Unknown,"Heavy Duty (GVWR>10,000 lbs)"
GMC,1,1977,0,Unknown,"Heavy Duty (GVWR>10,000 lbs)"
DODGE,1,1978,0,Unknown,"Heavy Duty (GVWR>10,000 lbs)"
FORD,1,1978,0,Unknown,"Heavy Duty (GVWR>10,000 lbs)"
GMC,1,1978,0,Unknown,"Heavy Duty (GVWR>10,000 lbs)"
INTERNATIONAL,1,1978,0,Unknown,"Heavy Duty (GVWR>10,000 lbs)"
FORD,3,1979,0,Unknown,"Heavy Duty (GVWR>10,000 lbs)"
CHEVROLET,1,1980,0,Unknown,"Heavy Duty (GVWR>10,000 lbs)"
FORD,1,1980,0,Unknown,"Heavy Duty (GVWR>10,000 lbs)"
AUTOCAR,1,1981,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
CHEVROLET,11,1981,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
CHEVROLET,69,1981,1,Gasoline,"Heavy Duty (GVWR>10,000 lbs)"
DODGE,1,1981,1,Gasoline,"Heavy Duty (GVWR>10,000 lbs)"
FORD,36,1981,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
FORD,32,1981,1,Gasoline,"Heavy Duty (GVWR>10,000 lbs)"
FORD,1,1981,4,Propane,"Heavy Duty (GVWR>10,000 lbs)"
FREIGHTLINER,6,1981,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
GMC,11,1981,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
GMC,16,1981,1,Gasoline,"Heavy Duty (GVWR>10,000 lbs)"
INTERNATIONAL,85,1981,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
INTERNATIONAL,13,1981,1,Gasoline,"Heavy Duty (GVWR>10,000 lbs)"
KENWORTH,11,1981,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
MACK,26,1981,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
MERCEDES-BENZ,1,1981,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
MOTOR COACH INDUSTRIES,3,1981,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
PETERBILT,14,1981,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
PREVOST,2,1981,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
TRANSPORTATION MFG CORP.,2,1981,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
WESTERN STAR,2,1981,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
WHITE,3,1981,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
BLUE BIRD,1,1982,1,Gasoline,"Heavy Duty (GVWR>10,000 lbs)"
CHEVROLET,22,1982,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
CHEVROLET,90,1982,1,Gasoline,"Heavy Duty (GVWR>10,000 lbs)"
EAGLE TRANSIT BUSES,1,1982,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
FORD,56,1982,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
FORD,66,1982,1,Gasoline,"Heavy Duty (GVWR>10,000 lbs)"
FORD,3,1982,4,Propane,"Heavy Duty (GVWR>10,000 lbs)"
FREIGHTLINER,2,1982,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
GMC,16,1982,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
GMC,25,1982,1,Gasoline,"Heavy Duty (GVWR>10,000 lbs)"
INTERNATIONAL,49,1982,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
INTERNATIONAL,7,1982,1,Gasoline,"Heavy Duty (GVWR>10,000 lbs)"
KENWORTH,11,1982,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
MACK,21,1982,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
MOTOR COACH INDUSTRIES,7,1982,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
PETERBILT,10,1982,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
TRANSPORTATION MFG CORP.,3,1982,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
WHITE,2,1982,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
AUTOCAR,1,1983,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
CHEVROLET,30,1983,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
CHEVROLET,145,1983,1,Gasoline,"Heavy Duty (GVWR>10,000 lbs)"
EAGLE TRANSIT BUSES,2,1983,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
FORD,56,1983,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
FORD,78,1983,1,Gasoline,"Heavy Duty (GVWR>10,000 lbs)"
FORD,1,1983,4,Propane,"Heavy Duty (GVWR>10,000 lbs)"
FREIGHTLINER,4,1983,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
GMC,13,1983,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
GMC,29,1983,1,Gasoline,"Heavy Duty (GVWR>10,000 lbs)"
HENDRICKSON,1,1983,0,Unknown,"Heavy Duty (GVWR>10,000 lbs)"
INTERNATIONAL,83,1983,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
INTERNATIONAL,7,1983,1,Gasoline,"Heavy Duty (GVWR>10,000 lbs)"
KENWORTH,12,1983,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
MACK,18,1983,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
MERCEDES-BENZ,1,1983,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
MOTOR COACH INDUSTRIES,1,1983,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
OSHKOSH MOTOR TRUCK CO.,1,1983,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
PETERBILT,16,1983,2,Diesel,"Heavy Duty (GVWR>10,000 lbs)"
