Make_name,COUNT(1),year_model,moves_adjusted_fuel_code,Fuel Detail,Duty
AMERICAN MOTORS,44,1966,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
BUICK,148,1966,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CADILLAC,122,1966,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CHEVROLET,43,1966,U,UNKNOWN,"Light Duty (10,000 lbs GVWR or less)"
CHEVROLET,3486,1966,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CHRYSLER,98,1966,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
DODGE,300,1966,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
FORD,1,1966,D,DIESEL,"Light Duty (10,000 lbs GVWR or less)"
FORD,5191,1966,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
INTERNATIONAL,20,1966,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
JEEP,26,1966,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
LINCOLN,58,1966,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
MERCURY,78,1966,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
OLDSMOBILE,161,1966,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PLYMOUTH,298,1966,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PONTIAC,408,1966,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
VOLKSWAGEN,418,1966,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
AMERICAN MOTORS,16,1967,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
BUICK,189,1967,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CADILLAC,129,1967,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CHEVROLET,3946,1967,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CHRYSLER,59,1967,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
DODGE,287,1967,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
FORD,3132,1967,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
GMC,64,1967,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
INTERNATIONAL,45,1967,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
JEEP,57,1967,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
LINCOLN,39,1967,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
MERCURY,165,1967,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
OLDSMOBILE,211,1967,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PLYMOUTH,257,1967,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PONTIAC,609,1967,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
VOLKSWAGEN,530,1967,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
VOLVO,12,1967,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
AMERICAN MOTORS,47,1968,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
BMW,1,1968,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
BUICK,236,1968,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CADILLAC,157,1968,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CHEVROLET,3629,1968,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CHRYSLER,63,1968,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
DATSUN,1,1968,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
DODGE,388,1968,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
FORD,3145,1968,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
HONDA,10,1968,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
INTERNATIONAL,29,1968,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
JEEP,26,1968,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
KAWASAKI,7,1968,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
LINCOLN,31,1968,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
MERCURY,156,1968,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
OLDSMOBILE,216,1968,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
OPEL,2,1968,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PLYMOUTH,319,1968,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PONTIAC,543,1968,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
TOYOTA,1,1968,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
VOLKSWAGEN,458,1968,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
VOLVO,7,1968,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
YAMAHA,40,1968,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
AMERICAN MOTORS,60,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
BMW,1,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
BUICK,330,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CADILLAC,186,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CHEVROLET,5284,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CHRYSLER,31,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
DATSUN,8,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
DODGE,387,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
FIAT,1,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
FORD,10,1969,U,UNKNOWN,"Light Duty (10,000 lbs GVWR or less)"
FORD,3011,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
GMC,240,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
HONDA,22,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
INTERNATIONAL,37,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
JAGUAR,35,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
JEEP,59,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
KAWASAKI,10,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
LINCOLN,82,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
MERCEDES-BENZ,4,1969,D,DIESEL,"Light Duty (10,000 lbs GVWR or less)"
MERCEDES-BENZ,92,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
MERCURY,139,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
OLDSMOBILE,348,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
OPEL,8,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PLYMOUTH,345,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PONTIAC,608,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PORSCHE,124,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
SUZUKI,2,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
TOYOTA,4,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
VOLKSWAGEN,479,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
YAMAHA,8,1969,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
AMERICAN MOTORS,39,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
BMW,11,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
BUICK,429,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CADILLAC,216,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CHEVROLET,4190,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CHRYSLER,32,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
DATSUN,32,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
DODGE,433,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
FIAT,1,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
FORD,2399,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
GMC,193,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
HONDA,61,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
INTERNATIONAL,36,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
JAGUAR,21,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
JEEP,46,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
KAWASAKI,8,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
LINCOLN,35,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
MERCEDES-BENZ,9,1970,D,DIESEL,"Light Duty (10,000 lbs GVWR or less)"
MERCEDES-BENZ,95,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
MERCURY,91,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
MG,2,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
OLDSMOBILE,1,1970,U,UNKNOWN,"Light Duty (10,000 lbs GVWR or less)"
OLDSMOBILE,581,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
OPEL,25,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PLYMOUTH,339,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PONTIAC,418,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PORSCHE,56,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
SUBARU,1,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
TOYOTA,6,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
VOLKSWAGEN,852,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
VOLVO,10,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
YAMAHA,5,1970,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
AMERICAN MOTORS,28,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
AUDI,9,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
BMW,34,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
BUICK,254,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CADILLAC,104,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CHEVROLET,3816,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CHRYSLER,29,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
DATSUN,57,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
DODGE,337,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
FIAT,8,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
FORD,1,1971,D,DIESEL,"Light Duty (10,000 lbs GVWR or less)"
FORD,2280,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
GMC,201,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
HARLEY-DAVIDSON,87,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
HONDA,112,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
INTERNATIONAL,44,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
JAGUAR,19,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
JEEP,58,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
KAWASAKI,6,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
LINCOLN,49,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
MERCEDES-BENZ,13,1971,D,DIESEL,"Light Duty (10,000 lbs GVWR or less)"
MERCEDES-BENZ,92,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
MERCURY,82,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
MG,118,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
OLDSMOBILE,592,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
OPEL,23,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PLYMOUTH,218,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PONTIAC,258,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PORSCHE,58,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
SAAB,4,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
SUZUKI,5,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
TOYOTA,65,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
TRIUMPH MOTORCYCLE,7,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
VOLKSWAGEN,1095,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
VOLVO,15,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
YAMAHA,27,1971,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
AMERICAN MOTORS,52,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
AUDI,3,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
BMW,64,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
BUICK,417,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CADILLAC,164,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CHEVROLET,5846,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CHRYSLER,32,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
DATSUN,41,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
DODGE,388,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
FIAT,4,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
FORD,2626,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
GMC,326,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
HARLEY-DAVIDSON,108,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
HONDA,179,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
INTERNATIONAL,74,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
JAGUAR,11,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
JEEP,118,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
KAWASAKI,19,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
LINCOLN,51,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
MERCEDES-BENZ,16,1972,D,DIESEL,"Light Duty (10,000 lbs GVWR or less)"
MERCEDES-BENZ,196,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
MERCURY,99,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
MG,167,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
OLDSMOBILE,941,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
OPEL,19,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PLYMOUTH,225,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PONTIAC,427,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PORSCHE,74,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
SAAB,1,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
SUZUKI,10,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
TOYOTA,97,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
TRIUMPH MOTORCYCLE,25,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
VOLKSWAGEN,1116,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
VOLVO,26,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
YAMAHA,38,1972,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
AMERICAN MOTORS,98,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
AUDI,1,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
BMW,71,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
BUICK,311,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CADILLAC,218,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CHEVROLET,3151,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CHRYSLER,29,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
DATSUN,61,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
DODGE,504,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
FIAT,1,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
FORD,2759,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
GMC,191,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
HARLEY-DAVIDSON,120,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
HONDA,190,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
INTERNATIONAL,83,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
JAGUAR,10,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
JEEP,205,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
JENSEN,1,1973,U,UNKNOWN,"Light Duty (10,000 lbs GVWR or less)"
KAWASAKI,49,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
LINCOLN,63,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
MAZDA,13,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
MERCEDES-BENZ,18,1973,D,DIESEL,"Light Duty (10,000 lbs GVWR or less)"
MERCEDES-BENZ,212,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
MERCURY,146,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
MG,180,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
OLDSMOBILE,282,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
OPEL,23,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PLYMOUTH,328,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PONTIAC,283,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PORSCHE,101,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
SAAB,5,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
SUBARU,1,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
SUZUKI,9,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
TOYOTA,77,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
TRIUMPH MOTORCYCLE,21,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
VOLKSWAGEN,1465,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
VOLVO,22,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
YAMAHA,48,1973,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
AMERICAN MOTORS,122,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
BMW,58,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
BUICK,112,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CADILLAC,144,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CAPRI,2,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CHEVROLET,3,1974,P,PROPANE,"Light Duty (10,000 lbs GVWR or less)"
CHEVROLET,510,1974,D,DIESEL,"Light Duty (10,000 lbs GVWR or less)"
CHEVROLET,2340,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CHRYSLER,25,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
DATSUN,76,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
DODGE,405,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
FIAT,11,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
FORD,125,1974,U,UNKNOWN,"Light Duty (10,000 lbs GVWR or less)"
FORD,2040,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
GMC,194,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
HARLEY-DAVIDSON,138,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
HONDA,194,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
INTERNATIONAL,79,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
JAGUAR,19,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
JEEP,233,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
KAWASAKI,76,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
LINCOLN,38,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
MAZDA,18,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
MERCEDES-BENZ,23,1974,D,DIESEL,"Light Duty (10,000 lbs GVWR or less)"
MERCEDES-BENZ,113,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
MERCURY,71,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
MG,278,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
OLDSMOBILE,176,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
OPEL,8,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PLYMOUTH,194,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PONTIAC,276,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
PORSCHE,114,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
SAAB,7,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
SUZUKI,23,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
TOYOTA,116,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
TRIUMPH MOTORCYCLE,6,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
VOLKSWAGEN,1387,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
VOLVO,9,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
YAMAHA,52,1974,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
AMERICAN MOTORS,46,1975,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
BMW,88,1975,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
BUICK,176,1975,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CADILLAC,230,1975,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CHEVROLET,184,1975,D,DIESEL,"Light Duty (10,000 lbs GVWR or less)"
CHEVROLET,1988,1975,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
CHRYSLER,39,1975,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
DATSUN,46,1975,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
DODGE,277,1975,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
FIAT,13,1975,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
FORD,1128,1975,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
GMC,24,1975,D,DIESEL,"Light Duty (10,000 lbs GVWR or less)"
GMC,134,1975,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
HARLEY-DAVIDSON,138,1975,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
HONDA,198,1975,G,GAS,"Light Duty (10,000 lbs GVWR or less)"
