Make,Duty,Vehicle Type
FORD,"Heavy Duty (GVWR>10,000 lbs)",1. FORD - Single Unit Short-haul Truck
CHEVROLET,"Heavy Duty (GVWR>10,000 lbs)",2. CHEVROLET - Single Unit Short-haul Truck
GMC,"Heavy Duty (GVWR>10,000 lbs)",3. GMC - Single Unit Short-haul Truck
DODGE,"Heavy Duty (GVWR>10,000 lbs)",4. DODGE - Single Unit Short-haul Truck
INTERNATIONAL,"Heavy Duty (GVWR>10,000 lbs)",5. INTERNATIONAL - Single Unit Long-haul Truck
AUTOCAR,"Heavy Duty (GVWR>10,000 lbs)",6. AUTOCAR - Refuse Truck
FREIGHTLINER,"Heavy Duty (GVWR>10,000 lbs)",7. FREIGHTLINER - Combination Long-haul Truck
KENWORTH,"Heavy Duty (GVWR>10,000 lbs)",8. KENWORTH - Combination Long-haul Truck
MACK,"Heavy Duty (GVWR>10,000 lbs)",9. MACK - Refuse Truck
MERCEDES-BENZ,"Heavy Duty (GVWR>10,000 lbs)",10. MERCEDES-BENZ - Single Unit Long-haul Truck
MOTOR COACH INDUSTRIES,"Heavy Duty (GVWR>10,000 lbs)",11. MOTOR COACH INDUSTRIES - Motor Home
PETERBILT,"Heavy Duty (GVWR>10,000 lbs)",12. PETERBILT - Combination Long-haul Truck
PREVOST,"Heavy Duty (GVWR>10,000 lbs)",13. PREVOST - Motor Home
TRANSPORTATION MFG CORP.,"Heavy Duty (GVWR>10,000 lbs)",14. TRANSPORTATION MFG CORP. - School Bus
WESTERN STAR,"Heavy Duty (GVWR>10,000 lbs)",15. WESTERN STAR - Combination Long-haul Truck
WHITE,"Heavy Duty (GVWR>10,000 lbs)",16. WHITE - Refuse Truck
BLUE BIRD,"Heavy Duty (GVWR>10,000 lbs)",17. BLUE BIRD - School Bus
EAGLE TRANSIT BUSES,"Heavy Duty (GVWR>10,000 lbs)",18. EAGLE TRANSIT BUSES - Other Buses
HENDRICKSON,"Heavy Duty (GVWR>10,000 lbs)",19. HENDRICKSON - Single Unit Long-haul Truck
OSHKOSH MOTOR TRUCK CO.,"Heavy Duty (GVWR>10,000 lbs)",20. OSHKOSH MOTOR TRUCK CO. - Single Unit Long-haul Truck
VOLVO,"Heavy Duty (GVWR>10,000 lbs)",21. VOLVO - Combination Long-haul Truck
HINO,"Heavy Duty (GVWR>10,000 lbs)",22. HINO - Single Unit Short-haul Truck
MARMON HERRINGTON,"Heavy Duty (GVWR>10,000 lbs)",23. MARMON HERRINGTON - Single Unit Short-haul Truck
GILLIG,"Heavy Duty (GVWR>10,000 lbs)",24. GILLIG - Transit Bus
ISUZU,"Heavy Duty (GVWR>10,000 lbs)",25. ISUZU - Single Unit Short-haul Truck
IVECO,"Heavy Duty (GVWR>10,000 lbs)",26. IVECO - Single Unit Long-haul Truck
SEAGRAVE FIRE APPARATUS,"Heavy Duty (GVWR>10,000 lbs)",27. SEAGRAVE FIRE APPARATUS - Other Buses
ROADMASTER RAIL,"Heavy Duty (GVWR>10,000 lbs)",28. ROADMASTER RAIL - Combination Long-haul Truck
UD TRUCKS,"Heavy Duty (GVWR>10,000 lbs)",29. UD TRUCKS - Single Unit Short-haul Truck
CRANE CARRIER,"Heavy Duty (GVWR>10,000 lbs)",30. CRANE CARRIER - Refuse Truck
GIANT,"Heavy Duty (GVWR>10,000 lbs)",31. GIANT - Single Unit Long-haul Truck
JOHN DEERE,"Heavy Duty (GVWR>10,000 lbs)",32. JOHN DEERE - Other Buses
