Record Type,Make,Body Type,Vehicle Category
VEH,CHRY,4DSD,Combination Long-haul Truck
VEH,LA/RO,SUBN,Combination Short-haul Truck
VEH,FORD,CONV,Light Commercial Truck
VEH,MANIT,P/SH,Motor Home
VEH,LAMBR,MCY,Motorcycle
VEH,NASH,2DSD,Other Buses
VEH,PACKA,2DSD,Other Buses
VEH,OLDSM,CONV,Light Commercial Truck
VEH,SAAB,2DSD,Other Buses
VEH,FORD,4DSD,Combination Long-haul Truck
VEH,FORD,2DSD,Other Buses
VEH,PACKA,4DSD,Combination Long-haul Truck
VEH,HYDRE,EMVR,Passenger Car
VEH,PLYMO,2DSD,Other Buses
VEH,AUSTI,CONV,Light Commercial Truck
VEH,BUICK,CONV,Light Commercial Truck
VEH,PACK,2DSD,Other Buses
VEH,CHEVR,2DSD,Other Buses
VEH,DODGE,PICK,Passenger Truck
VEH,MAXII,ATV,Refuse Truck
VEH,CHEVR,PICK,Passenger Truck
VEH,WAYNE,RD/S,School Bus
VEH,STUDE,4DSD,Combination Long-haul Truck
VEH,PACKA,CONV,Light Commercial Truck
VEH,PACKA,SEDN,Single Unit Long-haul Truck
VEH,OSHKO,RBM,Single Unit Short-haul Truck
VEH,FORD,PICK,Passenger Truck
VEH,MERCU,2DSD,Other Buses
VEH,WILLY,UTIL,Transit Bus
VEH,PORSC,2DSD,Other Buses
VEH,BADGE,P/SH,Motor Home
VEH,DODGE,2DSD,Other Buses
VEH,BADGE,RBM,Single Unit Short-haul Truck
VEH,DODGE,4DSD,Combination Long-haul Truck
VEH,RE/IN,ATV,Refuse Truck
VEH,CATER,RBM,Single Unit Short-haul Truck
VEH,CAT,P/SH,Motor Home
VEH,CATER,P/SH,Motor Home
VEH,CATER,UTIL,Transit Bus
VEH,ROV,2DSD,Other Buses
VEH,MINI,2DSD,Other Buses
VEH,FORD,STAK,Combination Long-haul Truck
VEH,FORD,FLAT,Combination Short-haul Truck
VEH,FORD,FIRE,Light Commercial Truck
VEH,FORD,VAN,Motor Home
VEH,ALLAR,CONV,Light Commercial Truck
VEH,CATER,????,Motorcycle
VEH,CMG,????,Motorcycle
VEH,MOTGR,RBM,Single Unit Short-haul Truck
VEH,CARER,RBM,Single Unit Short-haul Truck
VEH,CAT,RBM,Single Unit Short-haul Truck
VEH,CAT,????,Motorcycle
VEH,FORD,SEDN,Single Unit Long-haul Truck
VEH,MERCU,CONV,Light Commercial Truck
VEH,MERCU,SUBN,Combination Short-haul Truck
VEH,MERCU,4DSD,Combination Long-haul Truck
VEH,FORD,SUBN,Combination Short-haul Truck
VEH,JAGUA,4DSD,Combination Long-haul Truck
VEH,CASE,SN/P,Other Buses
VEH,ESSEX,4DSD,Combination Long-haul Truck
VEH,TRIUM,MCY,Motorcycle
VEH,CASE,TRAC,Passenger Car
