Record Type,Make,Body Type
VEH,CHRY,4DSD
VEH,LA/RO,SUBN
VEH,FORD,CONV
VEH,MANIT,P/SH
VEH,LAMBR,MCY
VEH,NASH,2DSD
VEH,PACKA,2DSD
VEH,OLDSM,CONV
VEH,SAAB,2DSD
VEH,FORD,4DSD
VEH,FORD,2DSD
VEH,PACKA,4DSD
VEH,HYDRE,EMVR
VEH,PLYMO,2DSD
VEH,AUSTI,CONV
VEH,BUICK,CONV
VEH,PACK,2DSD
VEH,CHEVR,2DSD
VEH,DODGE,PICK
VEH,MAXII,ATV
VEH,CHEVR,PICK
VEH,WAYNE,RD/S
VEH,STUDE,4DSD
VEH,PACKA,CONV
VEH,PACKA,SEDN
VEH,OSHKO,RBM
VEH,FORD,PICK
VEH,MERCU,2DSD
VEH,WILLY,UTIL
VEH,PORSC,2DSD
VEH,BADGE,P/SH
VEH,DODGE,2DSD
VEH,BADGE,RBM
VEH,DODGE,4DSD
VEH,RE/IN,ATV
VEH,CATER,RBM
VEH,CAT,P/SH
VEH,CATER,P/SH
VEH,CATER,UTIL
VEH,ROV,2DSD
VEH,MINI,2DSD
VEH,FORD,STAK
VEH,FORD,FLAT
VEH,FORD,FIRE
VEH,FORD,VAN
VEH,ALLAR,CONV
VEH,CATER,????
VEH,CMG,????
VEH,MOTGR,RBM
VEH,CARER,RBM
VEH,CAT,RBM
VEH,CAT,????
VEH,FORD,SEDN
VEH,MERCU,CONV
VEH,MERCU,SUBN
VEH,MERCU,4DSD
VEH,FORD,SUBN
VEH,JAGUA,4DSD
VEH,CASE,SN/P
VEH,ESSEX,4DSD
VEH,TRIUM,MCY
VEH,CASE,TRAC
VEH,CASE,RBM
VEH,CASE,P/SH
VEH,CHEVR,CONV
VEH,PIBAK,P/SH
VEH,OSHKO,SN/P
VEH,TIMBE,P/SH
VEH,MG,CONV
VEH,BOMAG,R/RD
VEH,TENNE,RD/S
VEH,TIMBE,TR/C
VEH,STUDE,2DSD
VEH,WHIPP,2DSD
VEH,VESPA,MCY
VEH,OLDSM,4DSD
