Make,Model,Vehicle Type
ACURA,CL,PASSENGER CAR
ACURA,ILX,PASSENGER CAR
ACURA,INTEGRA,PASSENGER CAR
ACURA,MDX,MULTIPURPOSE PASSENGER VEHICLE (MPV)
ACURA,RDX,MULTIPURPOSE PASSENGER VEHICLE (MPV)
ACURA,RL,PASSENGER CAR
ACURA,RLX,PASSENGER CAR
ACURA,RSX,PASSENGER CAR
ACURA,TL,PASSENGER CAR
BMW,M4,PASSENGER CAR
ACURA,TLX,PASSENGER CAR
ACURA,TSX,PASSENGER CAR
AUDI,A3,PASSENGER CAR
AUDI,A4,PASSENGER CAR
BMW,328I,PASSENGER CAR
AUDI,A4 ALLROAD,MULTIPURPOSE PASSENGER VEHICLE (MPV)
AUDI,A5,PASSENGER CAR
AUDI,A6,PASSENGER CAR
AUDI,ALLROAD,MULTIPURPOSE PASSENGER VEHICLE (MPV)
AUDI,Q3,MULTIPURPOSE PASSENGER VEHICLE (MPV)
AUDI,Q5,MULTIPURPOSE PASSENGER VEHICLE (MPV)
AUDI,Q7,MULTIPURPOSE PASSENGER VEHICLE (MPV)
AUDI,S4,PASSENGER CAR
AUDI,SQ5,MULTIPURPOSE PASSENGER VEHICLE (MPV)
AUDI,TT,PASSENGER CAR
BMW,128I,PASSENGER CAR
BMW,135I,PASSENGER CAR
BMW,230I,PASSENGER CAR
BMW,318IS,PASSENGER CAR
BMW,320I,PASSENGER CAR
BMW,323,PASSENGER CAR
BMW,323I,PASSENGER CAR
BMW,325,PASSENGER CAR
BMW,325CI,PASSENGER CAR
BMW,325CIC,PASSENGER CAR
BMW,325I,PASSENGER CAR
BMW,325XI,PASSENGER CAR
BMW,328D,PASSENGER CAR
BMW,328IC,PASSENGER CAR
BMW,328IS,PASSENGER CAR
BMW,328XI,PASSENGER CAR
BMW,330CI,PASSENGER CAR
BMW,330I,PASSENGER CAR
BMW,330XI,PASSENGER CAR
BMW,335I,PASSENGER CAR
BMW,335XI,PASSENGER CAR
BMW,428I,PASSENGER CAR
BMW,435I,PASSENGER CAR
BMW,525IT,PASSENGER CAR
BMW,528I,PASSENGER CAR
BMW,530I,PASSENGER CAR
BMW,530XIT,PASSENGER CAR
BMW,535I,PASSENGER CAR
BMW,535XI,PASSENGER CAR
BMW,540I,PASSENGER CAR
BMW,540IA,PASSENGER CAR
BMW,550I,PASSENGER CAR
BMW,645CI,PASSENGER CAR
BMW,740IL,PASSENGER CAR
BMW,750I / ALPINA B7,PASSENGER CAR
BMW,750LI,PASSENGER CAR
BMW,F 700 GS,MOTORCYCLE
BMW,F 800 ST,MOTORCYCLE
BMW,G 650 GS,MOTORCYCLE
BMW,K 1600 GT,MOTORCYCLE
BMW,M235I,PASSENGER CAR
BMW,M3,PASSENGER CAR
