Make,Model,Vehicle Type
PASSENGER CAR,PASSENGER CAR,PASSENGER CAR
FORD,F-150,PASSENGER TRUCK
PASSENGER CAR,PASSENGER CAR,MULTIPURPOSE PASSENGER VEHICLE (MPV)
FORD,F-250,PASSENGER TRUCK
FORD,F350,PASSENGER TRUCK
FORD,F-350,PASSENGER TRUCK
FORD,MAVERICK,PASSENGER TRUCK
FORD,RANGER,PASSENGER TRUCK
HONDA,RIDGELINE,PASSENGER TRUCK
MOTORCYCLE,MOTORCYCLE,MOTORCYCLE
NISSAN,TITAN,PASSENGER TRUCK
RAM,1500,PASSENGER TRUCK
RAM,2500,PASSENGER TRUCK
GMC,CANYON,PASSENGER TRUCK
GMC,SIERRA,PASSENGER TRUCK
RAM,3500,PASSENGER TRUCK
RAM,PROMASTER 1500,PASSENGER TRUCK
GMC,SONOMA,PASSENGER TRUCK
TOYOTA,PICK-UP,PASSENGER TRUCK
TOYOTA,TACOMA,PASSENGER TRUCK
TOYOTA,TUNDRA,PASSENGER TRUCK
CHEVROLET,COLORADO,PASSENGER TRUCK
CHEVROLET,SILVERADO,PASSENGER TRUCK
DODGE,DAKOTA,PASSENGER TRUCK
DODGE,D-SERIES,PASSENGER TRUCK
FORD,F550,Light Commercial Truck
GMC,SIERRA HD,PASSENGER TRUCK
MAZDA,B-SERIES,PASSENGER TRUCK
CHEVROLET,GMT-400,PASSENGER TRUCK
CHEVROLET,G-SERIES,PASSENGER TRUCK
CHEVROLET,SILVERADO HD,PASSENGER TRUCK
DODGE,RAM,PASSENGER TRUCK
DODGE,RAM 50,PASSENGER TRUCK
DODGE,RAM VAN,PASSENGER TRUCK
FRHT,CHASSIS,Combination Long-haul Truck
NISSAN,FRONTIER,PASSENGER TRUCK
FORD,F-150 HERITAGE,PASSENGER TRUCK
DODG,CONVAN,Light Commercial Truck
FORD,TRANSIT,Light Commercial Truck
FORD,TRANSIT CONNECT,Light Commercial Truck
JEEP,GLADIATOR,PASSENGER TRUCK
CHEV,GMT-400,PASSENGER TRUCK
CHEVROLET,EL CAMINO,PASSENGER TRUCK
FORD,E-250,Light Commercial Truck
FORD,E-350,Transit Bus
GMC,SIERRA LIMITED,Passenger Truck
FORD,STARCRAFT,PASSENGER CAR
CHEVROLET,S-10 PICKUP,Passenger Truck
DODGE,W-SERIES,Light Commercial Truck
LINCOLN,MARK LT,Passenger Truck
MERCEDES-BENZ,SPRINTER,Light Commercial Truck
CHEVROLET,C/K PICKUP,Passenger Truck
FORD,F250,Passenger Truck
FORD,TRANSIT,Transit Bus
JEEP,COMANCHE,Passenger Truck
RIVIAN,R1T,Passenger Truck
TOYOTA,T100,Passenger Truck
DODGE,RAM WAGON,Transit Bus
DODGE,SPRINTER,Light Commercial Truck
CHEVROLET,ASTRO VAN,Other Buses
CHEVROLET,EXPRESS,Light Commercial Truck
CHEVROLET,EXPRESS,Transit Bus
FORD,E-350,Light Commercial Truck
GMC,C/K PICKUP,Combination Short-haul Truck
RAM,3500,Combination Short-haul Truck
FORD,AEROSTAR,Passenger Car
NISSAN,NV,Light Commercial Truck
NISSAN,NV200,Light Commercial Truck
NISSAN,PICKUP,Combination Short-haul Truck
CHEVROLET,CITY EXPRESS,Light Commercial Truck
SPRINTER (DODGE OR FREIGHTLINER),SPRINTER,Light Commercial Truck
FORD,F450,Combination Long-haul Truck
FORD,F1PU,Light Commercial Truck
FORD,F-450,Combination Long-haul Truck
FORD,ECONOLINE,Light Commercial Truck
CHEV,ASTRO,Passenger Truck
CHEV,G20,Passenger Truck
DODG,RAM3500S,Light Commercial Truck
CHEV,SERVC TRUCK,Light Commercial Truck
CHEV,SUBURBAN,Passenger Truck
FORD,E-150,Light Commercial Truck
GMC,SAVANA,Light Commercial Truck
DODG,RAM VAN,Light Commercial Truck
FORD,BRONCO,Light Commercial Truck
GMC,FORWARD CONTROL CHASSIS,Light Commercial Truck
GMC,P35,Light Commercial Truck
GMC,S15 PICKUP,Passenger Truck
GMC,SIERRA,Passenger Truck
GMC,VANDURA,Other Buses
HYUNDAI,SANTA CRUZ,Passenger Truck
MERCEDES-BENZ,METRIS,Light Commercial Truck
MERCEDES-BENZ,SPRINTER,BUS
RAM,PROMASTER 2500,Light Commercial Truck
TOYOTA,4-RUNNER,Passenger Car
BLUE BIRD,BB CONVENTIONAL,BUS
CHEV,CHASCAB,Passenger Truck
CHEV,EXPRESS G1500,Light Commercial Truck
CHEV,K3PU,Passenger Truck
CHEV,R30,Passenger Truck
